"id","nombre","provincia_id"
176,Aguarico,17
119,Alamor,12
36,Alausí,5
78,AlfredoBaquerizoMoreno,10
112,Amaluza,12
216,Ambato,23
102,AntonioAnte,11
180,Arajuno,18
171,Archidona,16
198,Arenal,19
53,Arenillas,7
67,Atacames,8
197,Atacazo,19
54,Atahualpa,7
23,Azogues,3
124,Baba,13
125,Babahoyo,13
79,Balao,10
55,Balsas,7
80,Balzar,10
217,BañosdeAguaSanta,23
24,Biblián,3
30,Bolívar,4
126,BuenaFe,13
137,Calceta,14
16,Caluma,2
25,Cañar,3
108,Cariamanga,12
172,CarlosJulioArosemenaTola,16
209,Cascales,22
117,Catacocha,12
109,Catamayo,12
184,Cayambe,19
110,Celica,12
225,CentineladelCóndor,24
199,CerroChuquiragua,19
203,CerroNegro,19
218,Cevallos,23
192,Chacana,19
111,Chaguarpamba,12
37,Chambo,5
56,Chilla,7
17,Chillanes,2
18,Chimbo,2
226,Chinchipe,24
138,Chone,14
1,Chordeleg,1
38,Chunchi,5
193,ChusalongoChico,19
81,Colimes,10
39,Colta,5
187,Corazón,19
82,CoronelMarcelinoMaridueña,10
103,Cotacachi,11
2,Cuenca,1
40,Cumandá,5
210,Cuyabeno,22
83,Daule,10
26,Déleg,3
84,Durán,10
19,Echeandía,2
139,ElCarmen,14
173,ElChaco,16
85,ElEmpalme,10
57,ElGuabo,7
68,EloyAlfaro,8
3,ElPan,1
227,ElPangui,24
27,ElTambo,3
86,ElTriunfo,10
69,Esmeraldas,8
31,Espejo,4
140,FlavioAlfaro,14
202,FuyaFuya,19
87,GeneralAntonioElizalde,10
4,Girón,1
211,GonzaloPizarro,22
113,Gonzanamá,12
5,Guachapala,1
188,GuaguaPichincha,19
6,Gualaceo,1
159,Gualaquiza,15
41,Guamote,5
42,Guano,5
20,Guaranda,2
77,Guayaquil,10
160,Huamboya,15
58,Huaquillas,7
104,Ibarra,11
185,IllinizaNorte,19
74,Isabela,9
88,IsidroAyora,10
141,Jama,14
142,Jaramijó,14
143,Jipijapa,14
200,Juña,19
144,Junín,14
207,LaConcordia,21
195,Ladrillos,19
212,LagoAgrio,22
178,LaJoyadelosSachas,17
204,LaLibertad,20
46,LaManá,6
"59,LasLajas	,7"
21,LasNaves,2
47,Latacunga,6
28,LaTroncal,3
161,LimónIndanza,15
162,Logroño,15
114,Loja,12
89,LomasdeSargentillo,10
179,Loreto,17
115,Macará,12
60,Machala,7
145,Manta,14
61,Marcabelí,7
181,Mera,18
90,Milagro,10
32,Mira,4
127,Mocache,13
219,Mocha,23
128,Montalvo,13
146,Montecristi,14
33,Montúfar,4
163,Morona,15
70,Muisne,8
7,Nabón,1
228,Nangaritza,24
91,Naranjal,10
92,Naranjito,10
93,Nobol,10
147,Olmedo,14
116,Olmedo,12
8,Oña,1
177,Orellana,17
105,Otavalo,11
164,PabloSexto,15
194,PadreEncantado,19
148,Paján,14
229,Palanda,24
129,Palenque,13
94,Palestina,10
43,Pallatanga,5
165,Palora,15
48,Pangua,6
230,Paquisha,24
62,Pasaje,7
182,Pastaza,18
220,Patate,23
9,Paute,1
149,Pedernales,14
95,PedroCarbo,10
221,Pelileo,23
44,Penipe,5
150,Pichincha,14
222,Píllaro,23
106,Pimampiro,11
63,Piñas,7
118,Pindal,12
201,Pishanga,19
96,Playas,10
10,PonceEnriquez,1
64,Portovelo,7
151,Portoviejo,14
11,Pucará,1
130,Puebloviejo,13
152,PuertoLópez,14
49,Pujilí,6
196,Puntas,19
213,Putumayo,22
223,Quero,23
131,Quevedo,13
174,Quijos,16
120,Quilanga,12
71,Quinindé,8
132,Quinsaloma,13
244,Quito,19
45,Riobamba,5
72,Rioverde,8
153,Rocafuerte,14
190,RucoPichincha,19
189,Rumiñahui,19
50,Salcedo,6
205,Salinas,20
97,Salitre,10
98,Samborondón,10
75,SanCristóbal,9
12,SanFernando,1
166,SanJuanBosco,15
73,SanLorenzo,8
22,SanMiguel,2
107,SanMigueldeUrcuquí,11
34,SanPedrodeHuaca,4
155,SantaAna,14
183,SantaClara,18
76,SantaCruz,9
206,SantaElena,20
13,SantaIsabel,1
99,SantaLucía,10
65,SantaRosa,7
