"id","nombre","provincia_id"
176,Aguarico,17
119,Alamor,12
36,Alausí,5
78,Alfredo Baquerizo Moreno,10
112,Amaluza,12
216,Ambato,23
102,Antonio Ante,11
180,Arajuno,18
171,Archidona,16
198,Arenal,19
53,Arenillas,7
67,Atacames,8
197,Atacazo,19
54,Atahualpa,7
23,Azogues,3
124,Baba,13
125,Babahoyo,13
79,Balao,10
55,Balsas,7
80,Balzar,10
217,Baños de Agua Santa,23
24,Biblián,3
30,Bolívar,4
126,Buena Fe,13
137,Calceta,14
16,Caluma,2
25,Cañar,3
108,Cariamanga,12
172,Carlos Julio Arosemena Tola,16
209,Cascales,22
117,Catacocha,12
109,Catamayo,12
184,Cayambe,19
110,Celica,12
225,Centinela del Cóndor,24
199,Cerro Chuquiragua,19
203,Cerro Negro,19
218,Cevallos,23
192,Chacana,19
111,Chaguarpamba,12
37,Chambo,5
56,Chilla,7
17,Chillanes,2
18,Chimbo,2
226,Chinchipe,24
138,Chone,14
1,Chordeleg,1
38,Chunchi,5
193,Chusalongo Chico,19
81,Colimes,10
39,Colta,5
187,Corazón,19
82,Coronel Marcelino Maridueña,10
103,Cotacachi,11
2,Cuenca,1
40,Cumandá,5
210,Cuyabeno,22
83,Daule,10
26,Déleg,3
84,Durán,10
19,Echeandía,2
139,El Carmen,14
173,El Chaco,16
85,El Empalme,10
57,El Guabo,7
68,Eloy Alfaro,8
3,El Pan,1
227,El Pangui,24
27,El Tambo,3
86,El Triunfo,10
69,Esmeraldas,8
31,Espejo,4
140,Flavio Alfaro,14
202,Fuya Fuya,19
87,General Antonio Elizalde,10
4,Girón,1
211,Gonzalo Pizarro,22
113,Gonzanamá,12
5,Guachapala,1
188,Guagua Pichincha,19
6,Gualaceo,1
159,Gualaquiza,15
41,Guamote,5
42,Guano,5
20,Guaranda,2
77,Guayaquil,10
160,Huamboya,15
58,Huaquillas,7
104,Ibarra,11
185,Illiniza Norte,19
74,Isabela,9
88,Isidro Ayora,10
141,Jama,14
142,Jaramijó,14
143,Jipijapa,14
200,Juña,19
144,Junín,14
207,La Concordia,21
195,Ladrillos,19
212,Lago Agrio,22
178,La Joya de los Sachas,17
204,La Libertad,20
46,La Maná,6
59,Las Lajas	,7
21,Las Naves,2
47,Latacunga,6
28,La Troncal,3
161,Limón Indanza,15
162,Logroño,15
114,Loja,12
89,Lomas de Sargentillo,10
179,Loreto,17
115,Macará,12
60,Machala,7
145,Manta,14
61,Marcabelí,7
181,Mera,18
90,Milagro,10
32,Mira,4
127,Mocache,13
219,Mocha,23
128,Montalvo,13
146,Montecristi,14
33,Montúfar,4
163,Morona,15
70,Muisne,8
7,Nabón,1
228,Nangaritza,24
91,Naranjal,10
92,Naranjito,10
93,Nobol,10
147,Olmedo,14
116,Olmedo,12
8,Oña,1
177,Orellana,17
105,Otavalo,11
164,Pablo Sexto,15
194,Padre Encantado,19
148,Paján,14
229,Palanda,24
129,Palenque,13
94,Palestina,10
43,Pallatanga,5
165,Palora,15
48,Pangua,6
230,Paquisha,24
62,Pasaje,7
182,Pastaza,18
220,Patate,23
9,Paute,1
149,Pedernales,14
95,Pedro Carbo,10
221,Pelileo,23
44,Penipe,5
150,Pichincha,14
222,Píllaro,23
106,Pimampiro,11
63,Piñas,7
118,Pindal,12
201,Pishanga,19
96,Playas,10
10,Ponce Enriquez,1
64,Portovelo,7
151,Portoviejo,14
11,Pucará,1
130,Puebloviejo,13
152,Puerto López,14
49,Pujilí,6
196,Puntas,19
213,Putumayo,22
223,Quero,23
131,Quevedo,13
174,Quijos,16
120,Quilanga,12
71,Quinindé,8
132,Quinsaloma,13
244,Quito,19
45,Riobamba,5
72,Rioverde,8
153,Rocafuerte,14
190,Ruco Pichincha,19
189,Rumiñahui,19
50,Salcedo,6
205,Salinas,20
97,Salitre,10
98,Samborondón,10
75,San Cristóbal,9
12,San Fernando,1
166,San Juan Bosco,15
73,San Lorenzo,8
22,San Miguel,2
107,San Miguel de Urcuquí,11
34,San Pedro de Huaca,4
155,Santa Ana,14
183,Santa Clara,18
76,Santa Cruz,9
206,Santa Elena,20
13,Santa Isabel,1
99,Santa Lucía,10
65,Santa Rosa,7
167,Santiago,15
208,Santo Domingo,21
154,San Vicente,14
51,Saquisilí,6
121,Saraguro,12
191,Sarahurco,19
14,Sevilla de Oro,1
214,Shushufindi,22
52,Sigchos,6
15,Sígsig,1
100,Simón Bolívar,10
186,Sincholagua,19
122,Sozoranga,12
156,Sucre,14
168,Sucúa,15
215,Sucumbíos,22
29,Suscal,3
169,Taisha,15
175,Tena,16
224,Tisaleo,23
170,Tiwintza,15
157,Tosagua,14
35,Tulcá,4
133,Urdaneta,13
134,Valencia,13
158,Veinticuatro de Mayo,14
135,Ventanas,13
136,Vinces,13
231,Yacuambi,24
101,Yaguachi,10
232,Yantzaza,24
233,Zamora,24
123,Zapotillo,12
66,Zarum,7
